query,grade,id,snippet,notes
my glasses cause me headache,3,1530:8,I've had similar problems with other frames in the past.,
my glasses cause me headache,3,1530:11,It didn't solve the issue I had at all but it did make me 5 euros lighter.,
my glasses cause me headache,2,1530:17,"The trade-off is that it doesn't sit as tightly on my face as before, but I can run without my glasses falling off.",
my glasses cause me headache,3,1530:0,Can tight glasses cause headaches?,
my glasses cause me headache,3,1530:2,I've had this problem for a very long time where the glasses leave a dent in my head.,
my glasses cause me headache,3,1530:7,"I usually get a headache, but it feels relieved when I take off my glasses for a bit. Is this perhaps a psychological effect or my tight glasses be causing headaches?",
my glasses cause me headache,3,1530:9,"I have taken my glasses to the store halve a year ago explaining my problem, but the people there didn't really say much.",
my glasses cause me headache,3,1530:12,I notice this topic is gaining a lot of attention. The problem is actually solved now; the tight frames did in fact cause the headaches.,
negative effects of antibiotics,3,4618:0,Effect of antibiotics on breastfed infant,<antibiotics><pediatrics><infant><breastfeeding><gut-microbiota-flora>,
negative effects of antibiotics,1,11575:2,Is there any evidence that taking a bath or shower when sick has negative effects?,<water><disease><fever><bath>,
negative effects of antibiotics,2,19203:2,Is it possible that antibiotic resistance also means that some bacteria will be harder for the immune system (without effective antibiotics) to combat?,<antibiotics>,
negative effects of antibiotics,3,3069:1,"Ear infections are not contagious, and most resolve without antibiotics. There are risks inherent with excessive antibiotic use as well as many allergies and negative side effects.",
negative effects of antibiotics,2,4618:2,"How does breastfeeding impact the negative influence of antibiotics on the infant body, e.g. gut flora? Are there any studies made? Thanks!",
negative effects of antibiotics,3,99:0,Why does my antibiotic make my urine yellow?,
negative effects of antibiotics,3,5951:0,Even topical tetracycline causes teeth discoloration?,
negative effects of antibiotics,3,99:1,"When I was given antibiotics for fever by my doctor, I noticed that my urine is unusually yellow. Why is that?",
negative effects of antibiotics,3,20784:0,Why is Tobramycin prescribed for ear infections?,
negative effects of antibiotics,3,5951:1,I learned that tetracycline can cause tooth discoloratoin when taken orally. How about topical use as a creme? Can tetracycline also stain the tooth through skin absorption?,
negative effects of antibiotics,1,1814:0,What are the negative health effects of Absolute Zero Monster Energy,
negative effects of antibiotics,1,3268:5,"Also, the test can come back as ""positive"", ""negative"" or ""inconclusive"" for MRSA. What makes a test ""inconclusive""?",
negative effects of antibiotics,3,359:3,"For example, are there occasions when even prescribed antibiotics should be avoided?",
negative effects of antibiotics,3,18184:3,"My question is, do the two antibiotics have antagonistic effects? If so, is it a one-way antagonism and which way?",
negative effects of antibiotics,3,6991:0,Why does overuse of antibiotics cause resistance?,
negative effects of antibiotics,3,21083:3,I google through many pages in Polish and English. I found potential alergic effect and influence on blood clotting but no word about interactions with antibiotics is it safe or dangerous.,
negative effects of antibiotics,2,17787:6,Can someone maybe explain what the right reaction in such a case would be?,
gallstones relief,2,3399:0,Can ulcer pain be distinguished from gallstone pain?,<pain><gastroenterology><ulcers><gallstone>,
gallstones relief,3,17630:0,"Why after 140 years, is the primary surgical treatment for gallstones to still just chop out the gallbladder?",
gallstones relief,2,20760:0,"Does intermittent fasting increase or decrease the odds of getting gallstones, assuming a healthy diet?",
gallstones relief,2,10821:4,"Anyway, I am having an ultrasound to confirm the findings of gallstones (or kidney stones), but even if they found gallstones, what then do they do? Since the gallbladder was already removed?",
gallstones relief,1,10142:3,"So my question is; How does the use of Robb(balm) relief the pain, is there a chemical constituent present in it that brings about such relief?",
gallstones relief,1,9091:3,Are there any options for at least a temporary relief?,
gallstones relief,1,5664:0,Why does exercise relief stomach pain/bloating,
gallstones relief,1,1740:3,"He asked me to take an antibiotic and cough syrup for all this time, but I don't see any relief.",
gallstones relief,3,669:0,Gallstones pain relief?,
gallstones relief,3,17630:8,"Is there really still no better surgical option available, to remove gallstones and leave the repaired, emptied gallbladder in place?",
gallstones relief,3,669:1,"What suggestions are there for pain relief caused by stones in the gallbladder, while waiting for surgery date?",
gallstones relief,2,17630:1,"The practice of completely cutting out the gallbladder to ""cure"" gallstones goes back to 1878 when it was first successfully performed, and which is nearly prehistoric times in medical history and technology.",
gallstones relief,1,9475:3,I've ignored this for years and my doctor visits have yielded no clarity on the issue. I've also not found any answers with online research.,
I am concerned that my stiches (sutures) are not healing fast enough,2,8709:0,Vicryl suture not dissolving,<surgery>,
I am concerned that my stiches (sutures) are not healing fast enough,2,13418:0,Does fasting inhibit healing?,<nutrition><fasting>,
I am concerned that my stiches (sutures) are not healing fast enough,2,13418:4,"Namely, the body really doesn't use protein for energy, but for rebuilding tissues, essentially a constant, slow healing process. Without a supply of amino acids, is proper healing inhibited while fasting?",<nutrition><fasting>,
I am concerned that my stiches (sutures) are not healing fast enough,1,30801:10,"But is the absorption through skin deterministic and fast enough to get accurate dosage, or could it be diluted for ingestion?",
I am concerned that my stiches (sutures) are not healing fast enough,3,15019:5,"Then I pulled out 3 or 4 more purple threads from the wound area. At this point in time, the area of the incision did not appear to be healing.",
I am concerned that my stiches (sutures) are not healing fast enough,3,15019:0,Allergy to Vicryl Sutures,
I am concerned that my stiches (sutures) are not healing fast enough,1,31326:12,"Practically i don't think blood gases can be tested for CO2 fast enough to show this waveform, so i don't know how these waveforms can be obtained.",
I am concerned that my stiches (sutures) are not healing fast enough,1,17108:9,"This only works for diseases for which your body can invent antibodies (given enough time), for which it will remember the antibodies and for which the pathogens don't evolve fast.",
I am concerned that my stiches (sutures) are not healing fast enough,2,15019:7,How can I avoid this happening in future surgeries?,
I am concerned that my stiches (sutures) are not healing fast enough,2,15222:0,Can any wound be sutured?,
I am concerned that my stiches (sutures) are not healing fast enough,1,15222:1,"Basically, it is the broader question for this problem.",
I am concerned that my stiches (sutures) are not healing fast enough,3,15019:2,"After the surgeon removed the exterior sutures, I was still having problems with the wound healing. After another week or so, I noticed something on my palm at the incision site.",
I am concerned that my stiches (sutures) are not healing fast enough,2,8709:1,"I had surgery recently, the doctor said he used vicryl suture to close the wound.",
"eye floaters: are they dangerous, how to get rid of them?",1,12800:1,"I recall from a commercial that brushing is to get rid of plaque, and the point of getting rid of plaque is to stop it from producing acid with sugars.",
"eye floaters: are they dangerous, how to get rid of them?",1,18186:2,What should i do to get rid of this problem?,
"eye floaters: are they dangerous, how to get rid of them?",1,1618:0,How To Get Rid Of Bloated Stomach?,
"eye floaters: are they dangerous, how to get rid of them?",1,13767:0,How to get rid of acne marks and scars?,
"eye floaters: are they dangerous, how to get rid of them?",1,608:3,"I'm asking to get more information about this topic: which substances are these, where do they come from, and how to get rid of them if there's a way.",
"eye floaters: are they dangerous, how to get rid of them?",3,15:0,Will eye floaters ever disappear?,
"eye floaters: are they dangerous, how to get rid of them?",3,3452:0,What causes optical floaters to be more or less visible?,
"eye floaters: are they dangerous, how to get rid of them?",1,14008:8,"As I understand it, the main disadvantage of boiling water is that it doesn't get rid of dissolved solids and other possibly dangerous impurities.",
"eye floaters: are they dangerous, how to get rid of them?",3,3452:1,"When I first started getting floaters in my eyes (several years ago), my opthalmologist told me that they don't go away but over time your brain learns to ignore them/filter them out.",
"eye floaters: are they dangerous, how to get rid of them?",3,3452:9,"In case it matters, my floaters were not caused by eye trauma or retina problems; I was told this is just part of the aging process.",
"eye floaters: are they dangerous, how to get rid of them?",3,15:1,According to wikipedia on eye floaters:  Floaters are often caused by the normal aging process and will usually disappear as the brain learns to ignore them.,
"eye floaters: are they dangerous, how to get rid of them?",3,3452:5,"How do floaters ""work""?",
"eye floaters: are they dangerous, how to get rid of them?",3,3452:10,I am not asking for a personal diagnosis. This is a physiology question -- what's going on in the eye (or brain) when floaters are active?,
cure for snake venom,1,4776:2,The argument towards snake venom being safe to ingest is that snake venom is digested into amino acids.,
cure for snake venom,1,4776:11,In fact I think that snake venom is more acid resistant than most proteins and so less will be digested. Also the proteins might be too complex for pepsin to break them down.,
cure for snake venom,3,545:1,"If a person is bitten by a snake, what first aid measures should be taken to prevent the venom from spreading all over the body until the proper medical help arrives?",
cure for snake venom,3,545:0,First aid measures for a snake bite,
cure for snake venom,1,4776:0,Is hemotoxic snake venom safe to ingest?,
cure for snake venom,1,4776:1,I have heard that snake venom is safe to ingest. Normally when I hear about this it is about hemotoxic venoms such as that of a rattlesnake.,
cure for snake venom,1,4776:12,So is hemotoxic snake venom safe to ingest or is it something with a high risk of poisoning if it gets ingested and there are no wounds in the digestive system?,
toothpaste with or without fluoride? Pros and cons?,1,15398:3,Can those with an understanding of diet and physiology provide some pro/con considerations for each option?,<nutrition><diet>,
toothpaste with or without fluoride? Pros and cons?,1,15398:0,"In comparing the healthiness of shredded wheat and bran flakes, what are some pro/con considerations for each?",<nutrition><diet>,
toothpaste with or without fluoride? Pros and cons?,1,3616:0,What are the pros and cons of personalized medicine?,
toothpaste with or without fluoride? Pros and cons?,1,813:0,What are the pros and cons of a glycerin based personal lubricant?,
toothpaste with or without fluoride? Pros and cons?,1,5424:8,I would like to know what are the pros and cons of sleeping with and without a bra under the assumption that my bra is a perfect fit and does not by itself cause any problems.,
toothpaste with or without fluoride? Pros and cons?,3,17458:1,Long story short: Is there a maximum number of teeth brushing per day without having fluoride poisoning?,
toothpaste with or without fluoride? Pros and cons?,2,1401:3,Example from http://www.,
toothpaste with or without fluoride? Pros and cons?,3,14642:0,What does fluoride toothpaste do to the dentin on the teeth?,
toothpaste with or without fluoride? Pros and cons?,3,12984:1,Assuming I am not on any prescribed toothpaste and only toothpaste I been using are conventional toothpaste bought over the counter with fluoride.,
toothpaste with or without fluoride? Pros and cons?,3,17458:0,Fluoride poisoning by toothpaste,
toothpaste with or without fluoride? Pros and cons?,3,4328:7,"Or, should I look for a fluoride rinse, and would that be an effective replacement for toothpaste containing fluoride?",
toothpaste with or without fluoride? Pros and cons?,3,12984:3,Would there be any risks or effects by switching to a toothpaste that does not contain fluoride?,
toothpaste with or without fluoride? Pros and cons?,3,12984:0,Are there any risks about switching to a non-fluoride toothpaste?,
toothpaste with or without fluoride? Pros and cons?,3,4328:4,"I'd still use it if it contained fluoride, but I have yet to find a ""healthy"" toothpaste that does.",
toothpaste with or without fluoride? Pros and cons?,3,15277:0,Is it beneficial to keep using fluorised toothpaste after prolonged use?,
when is it safe to take a blood test?,3,9142:0,When to take a blood test after a gout attack,
when is it safe to take a blood test?,2,1487:2,"Whenever I have to take a blood sample to run some tests on it, I am always told not to eat anything for about 12 hours before the test.",
when is it safe to take a blood test?,1,8867:4,"Is it Possible/Safe/Reasonable to take some medication to increase your blood pressure, so it returns to normal? If not, and one just have to deal with low blood-pressure...How to deal with low blood-pressure?",
when is it safe to take a blood test?,1,1166:1,Can a common blood test spot cancer in general? Or is it necessary to take some specific tests for each kind of cancer?,
when is it safe to take a blood test?,3,1487:0,Why should I fast before taking blood tests?,
when is it safe to take a blood test?,3,1487:6,"Guess at the end of the test they should say ""well, you will probably be fine, as long as you take another blood test every couple of days"".",
when is it safe to take a blood test?,2,21010:1,"This is a genuine question, which so far I've been unable to find an answer to.",
when is it safe to take a blood test?,1,522:0,How long should a person keep blood test results?,
when is it safe to take a blood test?,3,19613:0,Risk of HIV transmission during blood test?,
are dog bites dangerous?,3,11865:0,Which is the best injection after dog bite in india,<injections>,
are dog bites dangerous?,2,3694:0,Can I apply dettol & adhesive bandages on dog bites?,
are dog bites dangerous?,2,11864:0,Is there any food restrictions after dog bite,
are dog bites dangerous?,2,11864:1,"When a street dog bites a human, Are there any food restrictions while being treated? I heard we should't eat spicy foods and non veg , is it another myth ?",
are dog bites dangerous?,3,12761:2,So if I get bitten by a house dog what could be the case?,
are dog bites dangerous?,3,9134:0,Can dog bites cause Echinococcosis?,
are dog bites dangerous?,3,9134:1,"I know that dog bites are dangerous and can give you rabies,but can a dog bite cause Echinococcosis?",
are dog bites dangerous?,3,12761:0,Whose bite is worse for infection a cat's bite or a dogs?,
are dog bites dangerous?,3,16861:10,This source compares dog vaccine to human vaccine so it's not that related and I can't find useful sources.,
are dog bites dangerous?,3,16861:1,"When a dog bites a person, why is it necessary to take about 5 injections or needles? Why not just one big injection?",
what are the side effects of Benadryl?,1,4389:0,What are the long-term side effects of melatonin?,
what are the side effects of Benadryl?,1,19144:5,I found this link but it's a bit of a wall of text.,
what are the side effects of Benadryl?,2,248:0,Do Benadryl and Loratadine contain the same active ingredient?,
what are the side effects of Benadryl?,1,13806:0,How common are tics as a side-effect when taking Lamotrigine?,
what are the side effects of Benadryl?,1,1484:4,"Hypoglycemia, dehydration, weight loss, and disorientation. Additional signs and symptoms include weakness, tiredness, dizziness, low blood pressure that falls further when standing (orthostatic hypotension), cardiovascular collapse, muscle aches, nausea, vomiting, and diarrhea.",
what are the side effects of Benadryl?,1,263:0,Effects and side effects of artifical oxytocin,
what are the side effects of Benadryl?,1,823:0,Antidepressants and side effects,
what are the side effects of Benadryl?,3,17340:2,"If you take a drug that blocks m1 for long periods of time and attempt to stop like Benadryl or many antidepressants, insomnia is a likely side effect.",
what are the side effects of Benadryl?,1,7315:0,Are generics tested for side effects?,
what are the side effects of Benadryl?,1,19599:0,Does ecdysterone supplementation have any deleterious side effects?,
what are the side effects of Benadryl?,2,12107:0,Taking Benadryl after Claritin,
are computer glasses helpful in reducing eye fatigue or other eye problems?,3,5466:9,Is it safe to assume that glasses like these will reduce the strain on my eyes because they don't have to focus so much anymore?,<eye><effectiveness><vision><stress><glasses>,
are computer glasses helpful in reducing eye fatigue or other eye problems?,2,3262:0,an animation of an object moving randomly on a computer screen to reduce eye strain?,<eye><computers>,
are computer glasses helpful in reducing eye fatigue or other eye problems?,1,9129:0,How is the eye score interpreted?,
are computer glasses helpful in reducing eye fatigue or other eye problems?,2,9842:0,Increase vision clarity with eye exercices?,
are computer glasses helpful in reducing eye fatigue or other eye problems?,1,10723:3,"In other words, a lens should has exactly one value for dioptre.",
are computer glasses helpful in reducing eye fatigue or other eye problems?,1,10221:4,Has anyone had these experiences before? Is this normal?,
are computer glasses helpful in reducing eye fatigue or other eye problems?,3,5466:11,One person recommends special glasses another thinks they're not helpful.,
are computer glasses helpful in reducing eye fatigue or other eye problems?,3,5466:1,It's very likely that I will be spending most of my life in front of a computer monitor.,
are computer glasses helpful in reducing eye fatigue or other eye problems?,2,1652:5,Clarification I'm interested in physical and cognitive/brain problems alike. Cognitive problems are more important in this case. Examples of physical problems likely for long-time computer users: Back bending. Eye-sight damage.,
are computer glasses helpful in reducing eye fatigue or other eye problems?,3,5466:0,Do computer glasses actually work?,
are computer glasses helpful in reducing eye fatigue or other eye problems?,3,5466:5,My question is this: I came across computer glasses but opinions are divided and I wonder what is true.,
are computer glasses helpful in reducing eye fatigue or other eye problems?,2,52:1,"My job requires long periods of computer screen use. I have good eyesight (20/15) and don't wear glasses, but I definitely notice my eyes feeling fatigued at the end of the day.",
are computer glasses helpful in reducing eye fatigue or other eye problems?,2,13259:0,Can looking at a computer screen be good for your eyes?,
are computer glasses helpful in reducing eye fatigue or other eye problems?,1,13259:4,Now I am 31 years old and I don't use glasses and don't have any problem with my eyes.,
what are the best sleeping positions?,1,912:1,"Does the position of my arm and body matter? If yes, then how? What's the best body position for measuring the blood pressure?",<blood-pressure>,
what are the best sleeping positions?,1,912:0,What's the best body position for measuring the blood pressure?,<blood-pressure>,
what are the best sleeping positions?,3,1063:3,EDIT: Here are some example articles which speak negatively about stomach sleeping. http://www. cnn.com/2011/HEALTH/04/19/healthiest. sleep. position/ http://www. doctoroz.com/article/best-sleep-positions http://www. mayoclinic.org/diseases-conditions/back-pain/multimedia/sleeping-positions/sls-20076452?,
what are the best sleeping positions?,1,3841:3,"Obviously the best solution would be to cease drinking, but IF that person is stubborn and won't quit - what's the best way to go about it?",
what are the best sleeping positions?,1,7654:0,What are the best hours to sleep?,
what are the best sleeping positions?,1,11865:0,Which is the best injection after dog bite in india,
what are the best sleeping positions?,1,1017:1,I wondered what was the best for the health.,
what are the best sleeping positions?,1,3180:0,Best type of flu shot,
what are the best sleeping positions?,3,4043:1,I usually experience back pain while I sleep. I was wondering if there is any way to prevent this. Are there specific sleeping positions that can prevent back pain? Should I use different types of beds or pillows?,
what are the best sleeping positions?,3,5626:3,"pain is worst when sleeping – sleeping on my back is best, sleeping on stomach or side is impossible. This pain will last for the following day at least. I use some special pillows with moderate success.",
what are the best sleeping positions?,2,5044:13,"Neck benefits: The people that believe sleeping without a pillow is best for you, argue that sleeping with a pillow can be the main source of shoulder and neck pain.",
what are the best sleeping positions?,1,20991:0,Sleeping during the day instead of sleeping at night,
what are the best sleeping positions?,3,582:2,"Is this true, and if so, in what way does it affect a person and which is the best position to sleep in?",
what are the best sleeping positions?,2,5044:0,Is it better to sleep without a pillow?,
what are the best sleeping positions?,3,582:0,Does sleeping position affect health?,
what are the best sleeping positions?,3,9208:0,What should be the position of feet while sleeping?,
what are the best sleeping positions?,3,541:3,"Of course, any sleeping arrangement that makes it difficult to get to sleep or to stay asleep is inferior.",
how can tinnitus be cured?,2,496:0,Does the *frequency* of loud sounds one is exposed to affect Tinnitus risk?,<hearing>,
how can tinnitus be cured?,3,12991:0,Ringing in ears,
how can tinnitus be cured?,2,12991:2,Some scientific explanation would be more apt.,
how can tinnitus be cured?,2,10498:2,I can't make it stop and it's difficult to push through so I can hear.,
how can tinnitus be cured?,1,3345:0,Is regular nightly usage of earplugs healthy?,
how can tinnitus be cured?,1,15609:1,Acute bacterial prostatitis can be cured with antibiotics while chronic prostatitis cannot be cured by antibiotics. Why is this the case?,
how can tinnitus be cured?,2,12991:5,Is there any valid study that pin-points cervical pain to be a reason for Tinnitus?,
how can tinnitus be cured?,2,10498:1,Why is it that some people have tinnitus and some don't. Sometimes I feel like I'm so isolated because of the noise in my head.,
how can tinnitus be cured?,3,10953:8,"I know chronic high blood pressure can cause pulsatile tinnitus, but my question is directed at non-pulsatile tinnitus.",
how can tinnitus be cured?,3,1789:0,Is there any efficient treatment of Tinnitus (Ear ringing)?,
how can tinnitus be cured?,3,15496:0,Can induced deafness cure tinnitus,
how can tinnitus be cured?,2,12991:7,"I can understand that exercise improves the blood flow which could have helped, but what continued the relief for 2days?",
how can tinnitus be cured?,2,12991:6,"I observed that cardio exercises and outdoor gaming activity, temporarily eradicated this problem. The longest relief span recorded by me was 2 days.",
how can tinnitus be cured?,3,1789:3,"After many googling attempts, reading other people cases, I've not even found at least a person who recovered from Tinnitus. Now, I'm just wondering if this malady hasn't actually a remedy.",
how can tinnitus be cured?,3,15496:2,So wouldn't that mean that just eliminating the hairs entirely would cure the tinnitus? Deafness would be caused but some people would likely find living with no sound at all more preferable to constant ringing.,<hearing><ear><tinnitus><cure><deaf>,
how can tinnitus be cured?,2,15496:1,"Some forms of tinnitus are caused by damage to the microscopic hairs in the inner ear, that, once damaged, can send electrical signals that cause the ringing sound.",<hearing><ear><tinnitus><cure><deaf>,
